City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
305,Mackay,-21.15,149.2,73.99,94,100,5.75,AU,overcast clouds
306,Karratha,-20.7377,116.8463,87.66,52,82,7.67,AU,broken clouds
307,Longyearbyen,78.2186,15.6401,15.8,79,75,6.91,SJ,broken clouds
308,Iqaluit,63.7506,-68.5145,0.0,78,90,25.32,CA,snow
309,Kawalu,-7.3817,108.2082,71.82,87,100,1.52,ID,overcast clouds
310,Barcelona,41.3888,2.159,50.0,70,0,11.5,ES,clear sky
311,Isangel,-19.55,169.2667,80.94,83,100,15.39,VU,overcast clouds
312,Najran,17.4924,44.1277,59.0,36,0,2.04,SA,clear sky
313,Fiumicino,41.7675,12.2291,41.0,64,0,4.61,IT,clear sky
314,Maxixe,-23.8597,35.3472,81.28,85,64,9.22,MZ,broken clouds
315,Chapais,49.7834,-74.8492,26.6,86,90,10.36,CA,light snow
316,Imeni Morozova,59.9757,31.0376,12.0,56,100,2.51,RU,light snow
317,Vokhma,58.9303,46.7586,1.11,92,100,10.65,RU,overcast clouds
318,Tiznit,29.5833,-9.5,54.09,61,0,0.36,MA,clear sky
319,Wapakoneta,40.5678,-84.1936,32.0,86,90,10.36,US,overcast clouds
320,Temple,31.0982,-97.3428,60.8,17,1,5.75,US,clear sky
321,New Norfolk,-42.7826,147.0587,55.0,62,94,4.0,AU,overcast clouds
322,Miri,4.4148,114.0089,75.2,100,40,6.91,MY,scattered clouds
323,Madang,-5.2246,145.7966,77.61,86,100,3.33,PG,overcast clouds
324,Kaniama,-7.5667,24.1833,66.06,94,95,0.72,CD,overcast clouds
325,Kavieng,-2.5744,150.7967,83.16,79,53,20.13,PG,broken clouds
326,Damaturu,11.747,11.9608,72.05,22,0,8.68,NG,clear sky
327,Warrnambool,-38.3833,142.4833,55.99,78,100,10.85,AU,overcast clouds
328,Dhampur,29.3167,78.5167,48.34,66,0,2.28,IN,clear sky
329,Bambous Virieux,-20.3428,57.7575,81.0,94,75,8.05,MU,broken clouds
330,Kurmanayevka,52.5093,52.0675,15.33,94,99,20.09,RU,overcast clouds
331,Progreso,21.2833,-89.6667,75.0,46,75,4.61,MX,broken clouds
332,Kedrovka,55.5333,86.05,12.2,67,0,11.18,RU,clear sky
333,Beringovskiy,63.05,179.3167,-10.41,88,100,11.34,RU,overcast clouds
334,Roebourne,-20.7833,117.1333,86.86,53,86,7.07,AU,overcast clouds
335,Mount Isa,-20.7333,139.5,78.8,14,6,14.97,AU,clear sky
336,Raudeberg,61.9875,5.1352,36.0,58,100,9.01,NO,overcast clouds
337,Kadyy,57.787,43.1903,0.57,92,100,8.93,RU,overcast clouds
338,Athabasca,54.7169,-113.2854,39.2,48,1,13.8,CA,clear sky
339,Dukat,62.55,155.55,-39.55,79,5,3.44,RU,clear sky
340,Bistrica,47.1332,24.5001,7.25,93,66,2.17,RO,broken clouds
341,San Francisco Del Mar,16.2333,-94.65,80.83,57,0,29.89,MX,clear sky
342,Ostrovnoy,68.0531,39.5131,28.36,98,100,12.91,RU,light snow
343,Wanning,18.8003,110.3967,67.35,83,67,8.5,CN,broken clouds
